vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,target
26,26.0,8000.0,32000.0,64.0,12.0,16.0,275.0
26,26.0,8000.0,32000.0,128.0,24.0,32.0,382.0
27,116.0,2000.0,8000.0,32.0,5.0,28.0,56.0
27,50.0,2000.0,32000.0,24.0,6.0,26.0,182.0
27,50.0,2000.0,32000.0,48.0,26.0,52.0,227.0
27,50.0,2000.0,32000.0,112.0,52.0,104.0,341.0
27,50.0,4000.0,32000.0,112.0,52.0,104.0,360.0
27,30.0,8000.0,64000.0,96.0,12.0,176.0,919.0
27,30.0,8000.0,64000.0,128.0,12.0,176.0,978.0
27,180.0,262.0,4000.0,0.0,1.0,3.0,24.0
27,180.0,512.0,4000.0,0.0,1.0,3.0,24.0
27,180.0,262.0,4000.0,0.0,1.0,3.0,24.0
27,180.0,512.0,4000.0,0.0,1.0,3.0,24.0
27,124.0,1000.0,8000.0,0.0,1.0,8.0,37.0
27,98.0,1000.0,8000.0,32.0,2.0,8.0,50.0
28,125.0,2000.0,8000.0,0.0,2.0,14.0,41.0
29,480.0,512.0,8000.0,32.0,0.0,0.0,47.0
29,480.0,1000.0,4000.0,0.0,0.0,0.0,25.0
